vehicle,room,boarding
Base.StepVan_Propane,Step_Van_Propane,
Base.StepVan_RandisPlants,Step_Van_Plants,
Base.StepVan_Scarlet,Step_Van_Whiskey,
Base.StepVan_SmartKut,Step_Van_Tailoring,
Base.StepVan_SouthEasternHosp,Step_Van_Catering,
Base.StepVan_SouthEasternPaint,Step_Van_Paint,
Base.StepVan_USL,Step_Van_Logistics,
Base.StepVan_Zippee,Step_Van_Citr8,
Base.TentBlue,Tent,
Base.TentBrown,Tent,
Base.TentGreen,Tent,
Base.TentYellow,Tent,
Base.Trailer54FlyingCloud22,Camper_Large,door
Base.Trailer61Bambi16,Camper_Medium,door
Base.Trailer87Scamp13,Camper_Mini,door
Base.Trailer87Scamp16,Camper_Small,door
Base.TrailerM128van,Trailer_Military,
Base.TrailerM129van,Trailer_Military,
Base.TrailerM747lowbed,Container_Factory,
Base.TrailerM747lowbed,Container_Storage,
Base.TrailerM747lowbed,Container_Warehouse,
Base.Trailer_Horsebox,Trailer_Livestock,
Base.Trailer_Livestock,Trailer_Livestock,
Base.Van,Van,
Base.VanAmbulance,Van_Ambulance,
Base.VanBeckmans,Van_Construction,
Base.VanBrewsterHarbin,Van_Mechanic,
Base.VanBuilder,Van_Construction,
Base.VanCarpenter,Van_Carpenter,
Base.SemiTrailerVanCattle,Semi_Trailer_Factory,
Base.VanCoastToCoast,Van_Construction,
Base.VanDeerValley,Van,
Base.VanFossoil,Van_Fossil,
Base.VanGardenGods,Van_Gardening,
Base.VanGardener,Van_Gardening,
Base.VanGreenes,Van_Greens,
Base.VanJohnMcCoy,Van_Carpenter,
Base.VanJonesFabrication,Van,
Base.VanKerrHomes,Van_Construction,
Base.VanKnobCreekGas,Van_Gas_and_Electric,
Base.VanKnoxCom,Van_Comms,
Base.VanKorshunovs,Van_Mechanic,
Base.VanLouisvilleLandscaping,Van_Gardening,
Base.VanMail,Van_Mail,
Base.VanMccoy,Van_Carpenter,
Base.VanMechanic,Van_Mechanic,
Base.VanMeltingPointMetal,Van_Welding,
Base.VanMetalheads,Van,
Base.VanMicheles,Van_Carpenter,
Base.VanMobileMechanics,Van_Mechanic,
Base.VanMooreMechanics,Van_Gardening,
Base.VanOldMill,Van,
Base.VanOvoFarm,Van_Farm,
Base.VanPennSHam,Van_Construction,
Base.VanPlattAuto,Van_Mechanic,
Base.VanPluggedInElectrics,Van_Electrical,
Base.VanRadio,Van_Comms,
Base.VanRadio_3N,Van_Comms,
Base.VanRiversideFabrication,Van,
Base.VanRosewoodworking,Van_Carpenter,
Base.VanSchwabSheetMetal,Van_Welding,
Base.VanSeats,Van_Seats,
Base.VanSeatsAirportShuttle,Van_Seats,
Base.VanSeats_Creature,Van_Seats,
Base.VanSeats_LadyDelighter,Van_Love,
Base.VanSeats_Mural,Van_Love,
Base.VanSeats_Prison,Van_Prison,
Base.VanSeats_Space,Van_Love,
Base.VanSeats_Trippy,Van_Love,
Base.VanSeats_Valkyrie,Van,
Base.VanSpiffo,Van_Spiffo,
Base.VanTreyBaines,Van_Gardening,
Base.VanUncloggers,Van_Plumbing,
Base.VanUtility,Van_Gas_and_Electric,
Base.VanWPCarpentry,Van_Carpenter,
Base.Van_Blacksmith,Van_Blacksmith,
Base.Van_BugWipers,Van,
Base.Van_Charlemange_Beer,Van_Alcohol,
Base.Van_CraftSupplies,Van_Art_Supply,
Base.Van_Glass,Van_Glass,
Base.Van_HeritageTailors,Van_Tailor,
Base.Van_KnoxDisti,Van_Alcohol,
Base.Van_Leather,Van_Leather,
Base.Van_LectroMax,Van_Electrical,
Base.Van_Locksmith,Van,
Base.Van_Masonry,Van_Masonry,
Base.Van_MassGenFac,Van_Welding,
Base.Van_Perfick_Potato,Van_Greens,
Base.Van_Transit,Van_Love,
Base.Van_VoltMojo,Van_Electrical,
Base.W900_Container,Semi_Trailer_Warehouse,
Base.WhennyagoInitiative,RV_Small,door
Base.isoContainer2,Container_Warehouse,
Base.isoContainer4,Container_Factory,
Base.isoContainer5,Container_Storage,
Base.lockMartM577,GAGE_K15,
