id,label,floor-w,floor-h,spawn-x,spawn-y,front,cab,gen-x,gen-y,gen-z,selfPowered,plumable,roomdef,fallback
Step_Van_SWAT,Step Van - SWAT,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,policeswat,Step_Van
Step_Van_Tailoring,Step Van - Tailoring,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,tailoringstore,Step_Van
Step_Van_Whiskey,Step Van - Whiskey,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,whiskeybottling,Step_Van
Semi_Trailer_Warehouse,Semi Trailer - Warehouse,3,13,1,1,south,FALSE,1,17,0,FALSE,TRUE,warehouse,Semi_Trailer_Water
Semi_Trailer_Factory,Semi Trailer - Factory,3,13,1,1,south,FALSE,1,17,0,FALSE,TRUE,factorystorage,Semi_Trailer_Water
Semi_Trailer_Water,Semi Trailer - Water,3,13,1,1,south,FALSE,1,17,0,FALSE,TRUE,waterstorage,Semi_Trailer_Warehouse
RV_Large,RV - Large,3,9,1,1,north,TRUE,1,17,0,FALSE,TRUE,camping,
Camper_Large,Camper - Large,3,9,1,1,north,FALSE,1,17,0,FALSE,TRUE,camping,
Camper_Medium,Camper - Medium,3,5,1,1,north,FALSE,1,17,0,FALSE,TRUE,camping,
Trailer_Medium,Trailer - Medium,3,9,1,1,south,FALSE,1,17,0,FALSE,TRUE,storage,
Trailer_Livestock,Trailer - Livestock,3,4,1,1,south,FALSE,1,17,0,FALSE,TRUE,barn,
Trailer_Military,Trailer - Military,3,9,1,1,south,FALSE,1,17,0,FALSE,TRUE,armystorage,
Camper_Mini,Camper - Mini,2,3,1,1,north,FALSE,1,17,0,FALSE,TRUE,camping,
Camper_Small,Camper - Small,2,4,1,1,north,FALSE,1,17,0,FALSE,TRUE,camping,
Camper_Dasher,Camper - Dasher,2,4,1,1,north,FALSE,1,17,0,FALSE,TRUE,camping,
RV_Small,RV - Small,3,5,1,1,north,TRUE,1,17,0,FALSE,TRUE,camping,
Tent,Tent,2,3,1,1,north,FALSE,1,17,0,FALSE,FALSE,empty,
Military_Box,Military Box,4,4,1,1,south,FALSE,1,17,0,FALSE,TRUE,armytent,
GAGE_K15,GAGE K15,4,5,1,1,south,TRUE,1,17,0,FALSE,TRUE,armysurplus,
RV_Spare_1,RV - Spare 1,3,9,1,1,south,TRUE,1,17,0,FALSE,TRUE,camping,
RV_Spare_2,RV - Spare 2,3,9,1,1,south,TRUE,1,17,0,FALSE,TRUE,camping,
Container_Warehouse,Container - Warehouse,3,6,1,1,south,FALSE,1,17,0,FALSE,TRUE,warehouse,
Container_Factory,Container - Factory,3,6,1,1,south,FALSE,1,17,0,FALSE,TRUE,factorystorage,
Container_Storage,Container - Storage,3,6,1,1,south,FALSE,1,17,0,FALSE,TRUE,storageunit,
Bus_Military,Bus - Military,3,9,0,1,south,TRUE,1,17,0,FALSE,TRUE,oldarmy,Bus
Bus_Prison,Bus - Prison,3,9,0,1,south,FALSE,1,17,0,FALSE,TRUE,prisoncells,Bus
Bus_School,Bus - School,3,9,0,1,south,TRUE,1,17,0,FALSE,TRUE,elementaryschool,Bus
Bus,Bus,3,9,0,1,south,FALSE,1,17,0,FALSE,TRUE,shed,
Spawn,Spawn,8,9,4,4,,FALSE,13,-6,1,TRUE,TRUE,garagestorage,
